e1,e2,lcs,cls,nw,anw,sw,lv,ap,slv,me,ja,jw,isub,req,sub,qgr
"taaable:Brioche","category:Richea","","-",-3.0,-3.0,9.0,-3.0,13.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,0.8509615384615384,1.0,0.8509615384615384,0.8461538461538461
"taaable:Brioche","dbpedia:Riches","","-",-3.0,-3.0,9.0,-3.0,13.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,0.8509615384615384,1.0,0.8509615384615384,0.8461538461538461
"taaable:Brioche","dbpedia:Richel","","-",-3.0,-3.0,9.0,-3.0,13.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,0.8509615384615384,1.0,0.8509615384615384,0.8461538461538461
"taaable:Brioche","dbpedia:Richey","","-",-3.0,-3.0,9.0,-3.0,13.0,0.4285714285714286,0.33333333333333337,0.1507936507936508,0.1507936507936508,0.8509615384615384,1.0,0.8509615384615384,0.8461538461538461
"taaable:Vacherin","dbpedia:Richen","","-",-4.0,-4.0,6.0,-4.0,14.0,0.5,0.4,0.2777777777777778,0.2777777777777778,0.9092664092664093,1.0,0.1428571428571429,0.7692307692307692
"taaable:Vacherin","category:Aachen","","-",-3.0,-3.0,8.0,-3.0,15.0,0.375,0.33333333333333337,0.18055555555555547,0.18055555555555547,0.6208791208791209,1.0,0.6208791208791209,0.6666666666666667
"taaable:Vacherin","category:Weathering","","-",-4.0,-4.0,11.0,-4.0,16.0,0.4,0.32499999999999996,0.27222222222222214,0.27222222222222214,0.6587301587301587,1.0,0.6587301587301587,0.75
"taaable:Broccoflower","dbpedia:Popcornflower","","-",-5.0,-5.0,15.0,-5.0,25.0,0.3846153846153846,0.5,0.199145299145299,0.199145299145299,0.8166101694915254,1.0,0.8166101694915254,0.65
"taaable:Rice_vinegar","dbpedia:Rice_car","","-",-5.0,-5.0,10.0,-5.0,21.0,0.41666666666666674,0.375,0.18055555555555547,0.10833333333333328,0.5441860465116279,1.0,0.6307837582625118,0.5333333333333333
"taaable:Rice_vinegar","dbpedia:Rice_tea","","-",-5.0,-5.0,10.0,-5.0,20.0,0.41666666666666674,0.375,0.18055555555555547,0.10833333333333328,0.5441860465116279,1.0,0.6307837582625118,0.7058823529411764
"taaable:Wine_vinegar","dbpedia:White_finger","","-",-5.0,-5.0,11.0,-5.0,25.0,0.41666666666666674,0.55,0.2777777777777778,0.25,1.9,1.0,1.0,0.8
"taaable:Wine_vinegar","dbpedia:White_Ginger","","-",-5.0,-5.0,11.0,-5.0,25.0,0.41666666666666674,0.55,0.2407407407407408,0.21666666666666679,1.9,1.0,1.0,0.8
"taaable:Wine_vinegar","dbpedia:White_ginger","","-",-5.0,-5.0,11.0,-5.0,25.0,0.41666666666666674,0.55,0.2407407407407408,0.21666666666666679,1.9,1.0,1.0,0.8
"taaable:Wine_vinegar","dbpedia:White_liner","","-",-5.0,-5.0,11.0,-5.0,26.0,0.41666666666666674,0.5636363636363637,0.202020202020202,0.18181818181818177,1.2259650548557497,1.0,1.0,0.7222222222222222
"taaable:Myrtille","category:Braille","","-",-3.0,-3.0,9.0,-3.0,15.0,0.375,0.37142857142857144,0.22023809523809523,0.22023809523809523,0.7086021505376344,1.0,0.7086021505376344,0.6923076923076923
"taaable:Suze","category:Size","","-",-1.0,-1.0,5.0,-1.0,8.0,0.25,0.09999999999999998,0.16666666666666663,0.1499999999999999,1.9,1.0,1.0,0.5714285714285714
"taaable:Myrtille","dbpedia:Maille","","-",-3.0,-3.0,8.0,-3.0,15.0,0.375,0.33333333333333337,0.18055555555555547,0.16249999999999987,0.578021978021978,1.0,0.578021978021978,0.5454545454545454
"taaable:Myrtille","dbpedia:Cornille","","-",-3.0,-3.0,9.0,-3.0,16.0,0.375,0.44999999999999996,0.25,0.25,0.7777777777777778,1.0,0.7777777777777778,0.7142857142857143
"taaable:Myrtille","dbpedia:Mille","","-",-3.0,-3.0,8.0,-3.0,14.0,0.375,0.19999999999999996,1.0,0.9,0.4652014652014652,1.0,0.4652014652014652,0.5
"taaable:Myrtille","dbpedia:Marillet","","-",-3.0,-3.0,10.0,-3.0,16.0,0.375,0.44999999999999996,0.1785714285714285,0.1607142857142856,0.7277777777777779,1.0,0.7277777777777779,0.7142857142857143
"taaable:Mexicanstyle_bean","category:Mexican_American","","-",-7.0,-7.0,14.0,-7.0,36.0,0.4117647058823529,0.5625,0.25211675579322634,0.1512700534759358,0.7020314075781587,1.0,0.6557110239447339,0.6521739130434783
